date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-04-10,Montenegro,Bar,21,0,NA,NA,174,42.099998,19.1,42048,598,631219,13812
2020-04-10,Montenegro,Andrijevica,7,0,NA,NA,174,42.73389,19.79194,5071,283,631219,13812
2020-04-10,Montenegro,Herceg Novi,6,1,NA,NA,174,42.45295,18.531203,30864,235,631219,13812
2020-04-10,Montenegro,Budva,4,0,NA,NA,174,42.28639,18.84,19218,122,631219,13812
2020-04-10,Montenegro,Ulcinj,9,0,NA,NA,174,41.92936,19.22436,19921,255,631219,13812
2020-04-10,Montenegro,Danilovgrad,3,0,NA,NA,174,42.55384,19.14608,18472,501,631219,13812
2020-04-10,Montenegro,Tivat,2,0,NA,NA,174,42.43639,18.69611,14031,46,631219,13812
2020-04-10,Montenegro,Bijelo Polje,6,0,NA,NA,174,43.03834,19.74758,46051,924,631219,13812
2020-04-10,Montenegro,Nikšić,31,0,NA,NA,174,42.7731,18.94446,72443,2065,631219,13812
2020-04-11,Montenegro,Tuzi,36,0,NA,NA,199,42.365556,19.331389,12096,236,631219,13812
2020-04-11,Montenegro,Podgorica,137,1,NA,NA,199,42.441286,19.262892,185937,1399,631219,13812
2020-04-11,Montenegro,Bar,21,0,NA,NA,199,42.099998,19.1,42048,598,631219,13812
2020-04-11,Montenegro,Andrijevica,7,0,NA,NA,199,42.73389,19.79194,5071,283,631219,13812
2020-04-11,Montenegro,Herceg Novi,6,1,NA,NA,199,42.45295,18.531203,30864,235,631219,13812
2020-04-11,Montenegro,Budva,4,0,NA,NA,199,42.28639,18.84,19218,122,631219,13812
2020-04-11,Montenegro,Ulcinj,10,0,NA,NA,199,41.92936,19.22436,19921,255,631219,13812
2020-04-11,Montenegro,Danilovgrad,3,0,NA,NA,199,42.55384,19.14608,18472,501,631219,13812
2020-04-11,Montenegro,Tivat,2,0,NA,NA,199,42.43639,18.69611,14031,46,631219,13812
2020-04-11,Montenegro,Bijelo Polje,6,0,NA,NA,199,43.03834,19.74758,46051,924,631219,13812
2020-04-11,Montenegro,Nikšić,31,0,NA,NA,199,42.7731,18.94446,72443,2065,631219,13812
2020-04-12,Montenegro,Tuzi,36,0,NA,NA,269,42.365556,19.331389,12096,236,631219,13812
2020-04-12,Montenegro,Podgorica,145,2,NA,NA,269,42.441286,19.262892,185937,1399,631219,13812
2020-04-12,Montenegro,Bar,21,0,NA,NA,269,42.099998,19.1,42048,598,631219,13812
2020-04-12,Montenegro,Andrijevica,7,0,NA,NA,269,42.73389,19.79194,5071,283,631219,13812
2020-04-12,Montenegro,Herceg Novi,6,1,NA,NA,269,42.45295,18.531203,30864,235,631219,13812
2020-04-12,Montenegro,Budva,4,0,NA,NA,269,42.28639,18.84,19218,122,631219,13812
2020-04-12,Montenegro,Ulcinj,10,0,NA,NA,269,41.92936,19.22436,19921,255,631219,13812
2020-04-12,Montenegro,Danilovgrad,3,0,NA,NA,269,42.55384,19.14608,18472,501,631219,13812
2020-04-12,Montenegro,Tivat,3,0,NA,NA,269,42.43639,18.69611,14031,46,631219,13812
2020-04-12,Montenegro,Bijelo Polje,6,0,NA,NA,269,43.03834,19.74758,46051,924,631219,13812
2020-04-12,Montenegro,Nikšić,31,0,NA,NA,269,42.7731,18.94446,72443,2065,631219,13812
2020-04-13,Montenegro,Tuzi,36,0,NA,NA,125,42.365556,19.331389,12096,236,631219,13812
2020-04-13,Montenegro,Podgorica,147,2,NA,NA,125,42.441286,19.262892,185937,1399,631219,13812
2020-04-13,Montenegro,Bar,21,0,NA,NA,125,42.099998,19.1,42048,598,631219,13812
2020-04-13,Montenegro,Andrijevica,7,0,NA,NA,125,42.73389,19.79194,5071,283,631219,13812
2020-04-13,Montenegro,Herceg Novi,6,1,NA,NA,125,42.45295,18.531203,30864,235,631219,13812
2020-04-13,Montenegro,Budva,4,0,NA,NA,125,42.28639,18.84,19218,122,631219,13812
2020-04-13,Montenegro,Ulcinj,10,0,NA,NA,125,41.92936,19.22436,19921,255,631219,13812
2020-04-13,Montenegro,Danilovgrad,3,0,NA,NA,125,42.55384,19.14608,18472,501,631219,13812
2020-04-13,Montenegro,Tivat,3,0,NA,NA,125,42.43639,18.69611,14031,46,631219,13812
2020-04-13,Montenegro,Bijelo Polje,6,0,NA,NA,125,43.03834,19.74758,46051,924,631219,13812
2020-04-13,Montenegro,Nikšić,31,0,NA,NA,125,42.7731,18.94446,72443,2065,631219,13812
2020-04-14,Montenegro,Tuzi,36,0,NA,NA,211,42.365556,19.331389,12096,236,631219,13812
2020-04-14,Montenegro,Podgorica,152,3,NA,NA,211,42.441286,19.262892,185937,1399,631219,13812
2020-04-14,Montenegro,Bar,23,0,NA,NA,211,42.099998,19.1,42048,598,631219,13812
2020-04-14,Montenegro,Andrijevica,7,0,NA,NA,211,42.73389,19.79194,5071,283,631219,13812
2020-04-14,Montenegro,Herceg Novi,6,1,NA,NA,211,42.45295,18.531203,30864,235,631219,13812
2020-04-14,Montenegro,Budva,4,0,NA,NA,211,42.28639,18.84,19218,122,631219,13812
2020-04-14,Montenegro,Ulcinj,11,0,NA,NA,211,41.92936,19.22436,19921,255,631219,13812
2020-04-14,Montenegro,Danilovgrad,3,0,NA,NA,211,42.55384,19.14608,18472,501,631219,13812
2020-04-14,Montenegro,Tivat,3,0,NA,NA,211,42.43639,18.69611,14031,46,631219,13812
2020-04-14,Montenegro,Bijelo Polje,6,0,NA,NA,211,43.03834,19.74758,46051,924,631219,13812
2020-04-14,Montenegro,Nikšić,32,0,NA,NA,211,42.7731,18.94446,72443,2065,631219,13812
2020-04-15,Montenegro,Tuzi,36,0,NA,NA,261,42.365556,19.331389,12096,236,631219,13812
2020-04-15,Montenegro,Podgorica,153,3,NA,NA,261,42.441286,19.262892,185937,1399,631219,13812
2020-04-15,Montenegro,Bar,23,0,NA,NA,261,42.099998,19.1,42048,598,631219,13812
2020-04-15,Montenegro,Andrijevica,7,0,NA,NA,261,42.73389,19.79194,5071,283,631219,13812
2020-04-15,Montenegro,Herceg Novi,6,1,NA,NA,261,42.45295,18.531203,30864,235,631219,13812
2020-04-15,Montenegro,Budva,4,0,NA,NA,261,42.28639,18.84,19218,122,631219,13812
2020-04-15,Montenegro,Ulcinj,14,0,NA,NA,261,41.92936,19.22436,19921,255,631219,13812
2020-04-15,Montenegro,Danilovgrad,3,0,NA,NA,261,42.55384,19.14608,18472,501,631219,13812
